Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
88.403725,17.75877718,144.054901,0.069727392,62.292526,6.113889986,21.905602,0.000586443
88.580208,17.99873811,144.200119,0.070091616,62.454235,6.055462366,21.910219,0.000581866
88.758224,17.7385023,144.355469,0.070129025,62.619579,5.984265146,21.915461,0.000585335
88.928398,17.91749266,144.525543,0.069934798,62.797596,5.912902609,21.920998,0.000585962
89.097351,17.24856864,144.664047,0.069926581,62.988285,5.843066658,21.924698,0.000585252
89.264503,17.17381906,144.824051,0.070343582,63.207397,5.761071373,21.931454,0.000586371
89.436226,17.20165015,144.981567,0.070139294,63.399578,5.754996914,21.935774,0.000583688
89.595238,16.8291901,145.133316,0.070096665,63.586624,5.667056865,21.938854,0.000584289
89.764824,17.28477474,145.295471,0.070242149,63.77787,5.554671975,21.942232,0.000582778
89.941093,16.7752959,145.45488,0.070291008,63.957336,5.517807541,21.949013,0.000585348
90.122505,16.67844491,145.608795,0.070438339,64.141319,5.428430367,21.959169,0.000585989
90.290634,16.57444736,145.76947,0.070489047,64.331039,5.426879648,21.965624,0.000588006
90.466621,16.4459494,145.925262,0.070492757,64.52919,5.403603758,21.969923,0.000590749
90.637199,16.28587676,146.077042,0.070424549,64.712227,5.317085923,21.973921,0.000588726
90.817131,16.34421486,146.236801,0.070519563,64.890732,5.279874786,21.97916,0.000588145
90.98983,15.99945557,146.38678,0.070609353,65.069542,5.227142798,21.9844,0.000585955
91.163452,16.25193199,146.553955,0.070670337,65.242294,5.196442343,21.991776,0.000588254
91.343735,15.81625652,146.709167,0.07074535,65.381798,5.095461199,22.000095,0.000589085
91.514633,16.01467652,146.860718,0.070731468,65.533714,5.066730756,22.004391,0.000590453
91.690086,15.49295813,147.002411,0.070902258,65.688019,5.001443249,22.01363,0.000589396
91.862862,15.70638925,147.156723,0.070891986,65.844421,4.937945627,22.019789,0.000588589
92.046196,15.49991272,147.314743,0.07094432,66.032852,4.890064586,22.025028,0.000587902
92.223816,15.35051377,147.467255,0.070983317,66.24691,4.805965361,22.023165,0.000588933
92.405968,15.28390806,147.610519,0.071130936,66.437126,4.764635586,22.036724,0.000589241
92.586639,15.15296039,147.759338,0.071119198,66.595032,4.715154978,22.041344,0.000589978
92.771233,15.13830991,147.907867,0.071204136,66.76046,4.671840955,22.050556,0.000588262
92.946777,14.79370433,148.062561,0.071252048,66.963638,4.647634606,22.058577,0.000586276
93.131409,14.81399193,148.220642,0.071314384,67.129967,4.593114426,22.069328,0.000587893
93.317589,14.82742482,148.379654,0.071462603,67.285713,4.537559443,22.071489,0.00058589
93.489838,14.67040279,148.543304,0.071459605,67.433617,4.50578162,22.092422,0.000590162
93.677528,14.64996545,148.701096,0.071557382,67.59964,4.447699095,22.085644,0.000590365
93.862816,14.64297698,148.863831,0.071566012,67.769569,4.404683796,22.101957,0.000590809
94.044174,14.54919178,149.002594,0.071588996,67.947945,4.400409174,22.108114,0.000590436
94.22525,14.14211054,149.141342,0.071704807,68.097023,4.3537812,22.121027,0.000587865
94.407249,14.26200697,149.246872,0.071866305,68.246414,4.315314559,22.12351,0.000588426
94.595619,14.15414827,149.373642,0.071762708,68.395805,4.263672424,22.133667,0.000588589
94.772194,14.07885764,149.517044,0.071940777,68.52256,4.225688597,22.144741,0.000587456
94.947868,13.8341459,149.672134,0.071883707,68.663795,4.190045173,22.155815,0.000588625
95.129326,13.79806598,149.81279,0.07202057,68.79113,4.169313626,22.162594,0.000590175
95.31321,13.60938445,149.946991,0.071914718,68.942612,4.14397417,22.168428,0.000589915
95.498001,13.53399692,150.082733,0.072121531,69.089264,4.109426479,22.183823,0.00058984
95.69252,13.55671298,150.216614,0.072040872,69.242256,4.043202094,22.192734,0.00059282
95.873726,13.43094377,150.344055,0.07228011,69.417572,4.023305219,22.199814,0.000592349
96.054619,13.44769025,150.501358,0.072221182,69.556351,3.975636128,22.212425,0.000591801
96.23584,13.2461392,150.638992,0.072288661,69.699989,3.94061616,22.22752,0.000592319
96.43589,13.12058273,150.78891,0.072445597,69.83033,3.912625787,22.244131,0.000592977
96.629555,13.0718226,150.936722,0.072567576,69.951004,3.852507531,22.253368,0.000592545
96.809929,12.68150758,151.092529,0.072579786,70.081055,3.832492203,22.269058,0.000591757
96.996666,12.94381339,151.215393,0.072573337,70.213181,3.807020957,22.286585,0.000587083
97.178253,12.7979984,151.366592,0.072709519,70.348969,3.765094751,22.309351,0.000587325
97.369591,12.75176524,151.5215,0.072608804,70.478699,3.739350143,22.323206,0.00059083
97.558479,12.49640221,151.663177,0.072678705,70.61837,3.706736357,22.345053,0.000591237
97.748009,12.42794032,151.804871,0.072814163,70.761665,3.700316763,22.364119,0.000592952
97.940918,12.47154711,151.94223,0.072782412,70.884438,3.666890415,22.385046,0.000592791
98.136551,12.25058344,152.064224,0.073026729,71.016281,3.640935751,22.399195,0.000591702
98.343117,12.2268989,152.192047,0.072851781,71.144791,3.623692136,22.416721,0.000592384
98.541794,12.06926539,152.328827,0.07300769,71.277222,3.614671491,22.438568,0.000591476
98.742012,12.16105483,152.471802,0.073073048,71.414169,3.566928546,22.45088,0.00059098
98.92955,11.98239849,152.59903,0.073096441,71.552338,3.540052077,22.469646,0.000591597
99.1119,11.76106553,152.727829,0.073219353,71.668755,3.509534382,22.492731,0.000591523
99.310364,11.76082092,152.860962,0.073269236,71.794861,3.470430518,22.508095,0.000590305
99.517357,11.67849244,153.002396,0.073338672,71.92485,3.452095312,22.522566,0.000590138
99.71888,11.4556417,153.136154,0.073705881,72.058182,3.461868901,22.540388,0.000590224
99.915901,11.38988021,153.28006,0.073450364,72.191811,3.440684691,22.559477,0.000589735
100.11322,11.43459634,153.417526,0.073488927,72.313675,3.384340826,22.573923,0.000589002
100.305687,11.3005755,153.540817,0.073502797,72.448494,3.36792902,22.589609,0.000590451
100.520981,11.21273508,153.668716,0.073587447,72.584541,3.337358847,22.59976,0.000591464
100.714714,11.14196371,153.80188,0.073718281,72.718468,3.31019951,22.619467,0.000591318
100.885094,11.12234582,153.942764,0.073745842,72.871994,3.272734639,22.62808,0.00059169
101.075523,11.08334106,154.066681,0.073805502,73.018631,3.246243033,22.646845,0.000591257
101.293312,10.93090643,154.203568,0.073864623,73.159187,3.2121048,22.661289,0.000589242
101.502602,10.8413329,154.336136,0.073801622,73.285248,3.187634438,22.679752,0.000591881
101.704956,10.76785983,154.466248,0.073936741,73.391113,3.178930938,22.701593,0.000591832
101.894844,10.61329353,154.605927,0.074064918,73.509941,3.156348904,22.708963,0.000589434
102.093269,10.5568019,154.735428,0.074128331,73.627571,3.122763294,22.729263,0.000586249
102.282898,10.5320506,154.863388,0.074047747,73.732536,3.092788917,22.754803,0.000588134
102.481354,10.41136028,155.018204,0.074170919,73.848648,3.074076725,22.77416,0.000588953
102.674667,10.26006111,155.150818,0.074205329,73.957222,3.045085047,22.785847,0.00058637
102.881393,10.32643467,155.270462,0.074332947,74.07605,3.037004934,22.808306,0.000583904
103.082642,10.25955985,155.420685,0.07426707,74.209969,3.017496038,22.828604,0.000588149
103.287888,10.12888532,155.55455,0.074349212,74.337547,2.999761815,22.845528,0.00059012
103.497093,10.00136288,155.674545,0.074386503,74.44854,2.986370916,22.862127,0.000588778
103.696579,10.00108524,155.802841,0.074360783,74.562851,2.962595719,22.882725,0.000588286
103.900055,9.93215458,155.937027,0.074358267,74.687714,2.936577613,22.892576,0.000587587
104.124535,9.74055544,156.05983,0.074522731,74.807739,2.913894383,22.907639,0.000589611
104.352386,9.794186542,156.180466,0.074658165,74.915726,2.89191854,22.929771,0.000586659
104.569931,9.713259907,156.311249,0.074563764,75.042389,2.878219683,22.947933,0.000587663
104.763756,9.598795582,156.448883,0.074737004,75.192284,2.859671913,22.959917,0.000587424
104.951218,9.535360444,156.576599,0.074664407,75.32045,2.842191444,22.985449,0.000588911
105.157867,9.355727381,156.718521,0.074747331,75.429642,2.813915449,22.995274,0.000586254
105.348991,9.344489899,156.863281,0.074777999,75.536415,2.793449778,23.014652,0.000585826
105.555397,9.276137399,156.998123,0.074897588,75.635033,2.775237551,23.034624,0.000587495
105.759659,9.240860737,157.098724,0.07483813,75.746025,2.761418157,23.052464,0.000589469
105.978569,9.051497035,157.223099,0.075035258,75.841621,2.741403597,23.074917,0.000587593
106.19445,9.077051548,157.325577,0.074917985,75.949593,2.722110917,23.091515,0.000590495
106.396362,8.966870195,157.453018,0.075076595,76.063301,2.697389885,23.100122,0.000587771
106.610184,8.901415823,157.59346,0.075131675,76.188477,2.690124393,23.128405,0.000589189
106.824326,8.876318504,157.713547,0.075206748,76.311211,2.661255153,23.145622,0.000587833
107.036049,8.871141215,157.841644,0.075344159,76.438797,2.643735991,23.166857,0.000589582
