Tuesday over 2K,,Thursday 1-50 kohm,,Thursday 4-7,
91.343735,15.81625652,65.381798,12.94273892,22.000095,0.000589085
91.514633,16.01467652,65.533714,12.86976209,22.004391,0.000590453
91.690086,15.49295813,65.688019,12.7039284,22.01363,0.000589396
91.862862,15.70638925,65.844421,12.5426411,22.019789,0.000588589
92.046196,15.49991272,66.032852,12.42102074,22.025028,0.000587902
92.223816,15.35051377,66.24691,12.2074043,22.023165,0.000588933
92.405968,15.28390806,66.437126,12.1024245,22.036724,0.000589241
92.586639,15.15296039,66.595032,11.97674116,22.041344,0.000589978
92.771233,15.13830991,66.76046,11.86672127,22.050556,0.000588262
92.946777,14.79370433,66.963638,11.80523587,22.058577,0.000586276
93.131409,14.81399193,67.129967,11.66675175,22.069328,0.000587893
93.317589,14.82742482,67.285713,11.52563918,22.071489,0.00058589
93.489838,14.67040279,67.433617,11.44492184,22.092422,0.000590162
93.677528,14.64996545,67.59964,11.29738918,22.085644,0.000590365
93.862816,14.64297698,67.769569,11.18812806,22.101957,0.000590809
94.044174,14.54919178,67.947945,11.17727029,22.108114,0.000590436
94.22525,14.14211054,68.097023,11.05883279,22.121027,0.000587865
94.407249,14.26200697,68.246414,10.96112551,22.12351,0.000588426
94.595619,14.15414827,68.395805,10.82995177,22.133667,0.000588589
94.772194,14.07885764,68.52256,10.73347086,22.144741,0.000587456
94.947868,13.8341459,68.663795,10.64293469,22.155815,0.000588625
95.129326,13.79806598,68.79113,10.59027547,22.162594,0.000590175
95.31321,13.60938445,68.942612,10.52591192,22.168428,0.000589915
95.498001,13.53399692,69.089264,10.43815897,22.183823,0.00058984
95.69252,13.55671298,69.242256,10.26994556,22.192734,0.00059282
95.873726,13.43094377,69.417572,10.21940645,22.199814,0.000592349
96.054619,13.44769025,69.556351,10.09832446,22.212425,0.000591801
96.23584,13.2461392,69.699989,10.0093719,22.22752,0.000592319
96.43589,13.12058273,69.83033,9.938274887,22.244131,0.000592977
96.629555,13.0718226,69.951004,9.78557136,22.253368,0.000592545
96.809929,12.68150758,70.081055,9.734731375,22.269058,0.000591757
96.996666,12.94381339,70.213181,9.670033073,22.286585,0.000587083
97.178253,12.7979984,70.348969,9.563538312,22.309351,0.000587325
97.369591,12.75176524,70.478699,9.498145655,22.323206,0.00059083
97.558479,12.49640221,70.61837,9.415304925,22.345053,0.000591237
