Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
98.136551,0.081628765,71.144791,0.275915401,22.416721,0.184344168
98.343117,0.081786887,71.277222,0.276603965,22.438568,0.184627128
98.541794,0.082855084,71.414169,0.280306279,22.45088,0.184782134
98.742012,0.082229709,71.552338,0.282434395,22.469646,0.184589418
98.92955,0.083455746,71.668755,0.284890347,22.492731,0.184612384
99.1119,0.08502631,71.794861,0.288100414,22.508095,0.184993482
99.310364,0.085028078,71.92485,0.289630609,22.522566,0.185045748
99.517357,0.08562749,72.058182,0.28881292,22.540388,0.185018717
99.71888,0.087293233,72.191811,0.290591135,22.559477,0.185172253
99.915901,0.087797236,72.313675,0.295429012,22.573923,0.185402525
100.11322,0.087453896,72.448494,0.296868628,22.589609,0.184947596
100.305687,0.088491068,72.584541,0.299587942,22.59976,0.184630828
100.520981,0.089184306,72.718468,0.302045984,22.619467,0.184676542
100.714714,0.089750786,72.871994,0.305503678,22.62808,0.184560211
100.885094,0.089909091,73.018631,0.307996801,22.646845,0.184695484
101.075523,0.090225501,73.159187,0.311270189,22.661289,0.185327114
101.293312,0.091483722,73.285248,0.313659702,22.679752,0.184500646
101.502602,0.092239581,73.391113,0.314518461,22.701593,0.184516079
101.704956,0.092868965,73.509941,0.316768677,22.708963,0.185266724
101.894844,0.094221459,73.627571,0.320175554,22.729263,0.186273108
102.093269,0.094725657,73.732536,0.323278599,22.754803,0.185676321
102.282898,0.094948271,73.848648,0.325246426,22.77416,0.185417961
102.481354,0.096048929,73.957222,0.328343036,22.785847,0.186234945
102.674667,0.097465306,74.07605,0.32921661,22.808306,0.187021331
102.881393,0.096838844,74.209969,0.331345081,22.828604,0.185671423
103.082642,0.097470068,74.337547,0.333303952,22.845528,0.185051193
103.287888,0.098727547,74.44854,0.334798488,22.862127,0.185473143
103.497093,0.099986373,74.562851,0.337485288,22.882725,0.185628311
103.696579,0.099989149,74.687714,0.34047541,22.892576,0.185849124
103.900055,0.100683089,74.807739,0.343125843,22.907639,0.185211242
104.124535,0.10266355,74.915726,0.345733275,22.929771,0.186142935
104.352386,0.102101384,75.042389,0.347378789,22.947933,0.185825187
104.569931,0.102952048,75.192284,0.34963188,22.959917,0.185900633
104.763756,0.104179737,75.32045,0.351782238,22.985449,0.185431205
104.951218,0.104872805,75.429642,0.355317168,22.995274,0.18627151
105.157867,0.106886398,75.536415,0.357920331,23.014652,0.186407812
105.348991,0.107014937,75.635033,0.360269148,23.034624,0.185878239
105.555397,0.107803492,75.746025,0.362072099,23.052464,0.185255652
105.759659,0.108215028,75.841621,0.364715531,23.074917,0.185847043
105.978569,0.110478962,75.949593,0.367300414,23.091515,0.184933715
106.19445,0.110167932,76.063301,0.370666648,23.100122,0.185790924
106.396362,0.111521632,76.188477,0.371667745,23.128405,0.185343879
106.610184,0.112341679,76.311211,0.375699589,23.145622,0.185771162
